Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS_Automobile,MTRANS_Bike,MTRANS_Motorbike,MTRANS_Public_Transportation,MTRANS_Walking,NObeyesdad,Obesity_Level,Obese_Binary
0,21,1.62,64.0,1,0,2.0,3.0,1,0,2.0,0,0.0,1.0,0,0,0,0,1,0,Normal_Weight,1,0
0,21,1.52,56.0,1,0,3.0,3.0,1,1,3.0,1,3.0,0.0,1,0,0,0,1,0,Normal_Weight,1,0
1,23,1.8,77.0,1,0,2.0,3.0,1,0,2.0,0,2.0,1.0,2,0,0,0,1,0,Normal_Weight,1,0
1,27,1.8,87.0,0,0,3.0,3.0,1,0,2.0,0,2.0,0.0,2,0,0,0,0,1,Overweight_Level_I,2,0
1,22,1.78,89.8,0,0,2.0,1.0,1,0,2.0,0,0.0,0.0,1,0,0,0,1,0,Overweight_Level_II,3,0
1,29,1.62,53.0,0,1,2.0,3.0,1,0,2.0,0,0.0,0.0,1,1,0,0,0,0,Normal_Weight,1,0
0,23,1.5,55.0,1,1,3.0,3.0,1,0,2.0,0,1.0,0.0,1,0,0,1,0,0,Normal_Weight,1,0
1,22,1.64,53.0,0,0,2.0,3.0,1,0,2.0,0,3.0,0.0,1,0,0,0,1,0,Normal_Weight,1,0
1,24,1.78,64.0,1,1,3.0,3.0,1,0,2.0,0,1.0,1.0,2,0,0,0,1,0,Normal_Weight,1,0
1,22,1.72,68.0,1,1,2.0,3.0,1,0,2.0,0,1.0,1.0,0,0,0,0,1,0,Normal_Weight,1,0
1,26,1.85,105.0,1,1,3.0,3.0,2,0,3.0,0,2.0,2.0,1,0,0,0,1,0,Obesity_Type_I,4,1
0,21,1.72,80.0,1,1,2.0,3.0,2,0,2.0,1,2.0,1.0,1,0,0,0,1,0,Overweight_Level_II,3,0
1,22,1.65,56.0,0,0,3.0,3.0,1,0,3.0,0,2.0,0.0,1,0,0,0,1,0,Normal_Weight,1,0
1,41,1.8,99.0,0,1,2.0,3.0,1,0,2.0,0,2.0,1.0,2,1,0,0,0,0,Obesity_Type_I,4,1
1,23,1.77,60.0,1,1,3.0,1.0,1,0,1.0,0,1.0,1.0,1,0,0,0,1,0,Normal_Weight,1,0
0,22,1.7,66.0,1,0,3.0,3.0,3,0,2.0,1,2.0,1.0,1,0,0,0,1,0,Normal_Weight,1,0
1,27,1.93,102.0,1,1,2.0,1.0,1,0,1.0,0,1.0,0.0,1,0,0,0,1,0,Overweight_Level_II,3,0
0,29,1.53,78.0,0,1,2.0,1.0,1,0,2.0,0,0.0,0.0,0,1,0,0,0,0,Obesity_Type_I,4,1
0,30,1.71,82.0,1,1,3.0,4.0,2,1,1.0,0,0.0,0.0,0,1,0,0,0,0,Overweight_Level_II,3,0
0,23,1.65,70.0,1,0,2.0,1.0,1,0,2.0,0,0.0,0.0,1,0,0,0,1,0,Overweight_Level_I,2,0
1,22,1.65,80.0,1,0,2.0,3.0,1,0,2.0,0,3.0,2.0,0,0,0,0,0,1,Overweight_Level_II,3,0
0,52,1.69,87.0,1,1,3.0,1.0,1,1,2.0,0,0.0,0.0,0,1,0,0,0,0,Obesity_Type_I,4,1
0,22,1.65,60.0,1,1,3.0,3.0,1,0,2.0,0,1.0,0.0,1,1,0,0,0,0,Normal_Weight,1,0
0,22,1.6,82.0,1,1,1.0,1.0,1,0,2.0,0,0.0,2.0,1,0,0,0,1,0,Obesity_Type_I,4,1
1,21,1.85,68.0,1,1,2.0,3.0,1,0,2.0,0,0.0,1.0,1,0,0,0,1,0,Normal_Weight,1,0
1,20,1.6,50.0,1,0,2.0,4.0,2,1,2.0,0,3.0,2.0,0,0,0,0,1,0,Normal_Weight,1,0
1,21,1.7,65.0,1,1,2.0,1.0,2,0,2.0,0,1.0,2.0,3,0,0,0,0,1,Normal_Weight,1,0
0,23,1.6,52.0,0,1,2.0,4.0,2,0,2.0,0,2.0,1.0,1,1,0,0,0,0,Normal_Weight,1,0
1,19,1.75,76.0,1,1,3.0,3.0,1,0,2.0,1,3.0,1.0,1,0,0,0,1,0,Normal_Weight,1,0
1,23,1.68,70.0,0,1,2.0,3.0,1,0,2.0,0,2.0,2.0,2,0,0,0,0,1,Normal_Weight,1,0
1,29,1.77,83.0,0,1,1.0,4.0,2,0,3.0,0,0.0,1.0,0,0,0,1,0,0,Overweight_Level_I,2,0
0,31,1.58,68.0,1,0,2.0,1.0,1,0,1.0,0,1.0,0.0,1,0,0,0,1,0,Overweight_Level_II,3,0
0,24,1.77,76.0,0,0,2.0,3.0,1,0,3.0,0,1.0,1.0,1,0,0,0,0,1,Normal_Weight,1,0
1,39,1.79,90.0,0,0,2.0,1.0,1,0,2.0,0,0.0,0.0,1,0,0,0,1,0,Overweight_Level_II,3,0
1,22,1.65,62.0,0,1,2.0,4.0,2,0,2.0,0,2.0,0.0,1,0,0,0,1,0,Normal_Weight,1,0
0,21,1.5,65.0,1,0,2.0,3.0,1,0,2.0,0,2.0,2.0,1,0,0,0,1,0,Overweight_Level_II,3,0
0,22,1.56,49.0,0,1,2.0,3.0,1,0,1.0,1,2.0,0.0,0,0,0,0,0,1,Normal_Weight,1,0
0,21,1.6,48.0,0,1,2.0,3.0,1,0,1.0,0,1.0,0.0,1,0,0,0,1,0,Normal_Weight,1,0
1,23,1.65,67.0,1,1,2.0,3.0,1,0,2.0,0,1.0,1.0,1,0,0,0,1,0,Normal_Weight,1,0
0,21,1.75,88.0,1,1,2.0,3.0,1,0,3.0,0,3.0,0.0,1,0,0,0,1,0,Overweight_Level_II,3,0
0,21,1.67,75.0,1,1,2.0,3.0,1,0,2.0,0,1.0,0.0,1,0,0,0,1,0,Overweight_Level_I,2,0
1,23,1.68,60.0,0,0,2.0,4.0,2,0,2.0,0,0.0,0.0,0,0,0,0,0,1,Normal_Weight,1,0
0,21,1.66,64.0,1,1,1.0,3.0,1,0,1.0,0,0.0,0.0,0,0,0,0,1,0,Normal_Weight,1,0
1,21,1.66,62.0,1,1,2.0,3.0,1,1,2.0,0,1.0,1.0,2,0,0,0,1,0,Normal_Weight,1,0
1,21,1.81,80.0,0,0,1.0,3.0,0,0,2.0,0,2.0,0.0,0,0,0,0,1,0,Normal_Weight,1,0
0,21,1.53,65.0,1,0,2.0,3.0,1,0,1.0,0,0.0,1.0,0,0,0,0,1,0,Overweight_Level_II,3,0
1,21,1.82,72.0,1,1,1.0,3.0,2,0,3.0,0,2.0,0.0,1,0,0,0,1,0,Normal_Weight,1,0
1,21,1.75,72.0,1,1,1.0,3.0,2,0,3.0,0,2.0,0.0,1,0,0,0,1,0,Normal_Weight,1,0
0,20,1.66,60.0,1,0,3.0,3.0,1,0,2.0,0,1.0,0.0,1,0,0,0,0,1,Normal_Weight,1,0
0,21,1.55,50.0,0,1,2.0,3.0,1,0,2.0,0,0.0,0.0,1,0,0,0,1,0,Normal_Weight,1,0
0,21,1.61,54.5,1,1,3.0,3.0,1,0,3.0,0,0.0,1.0,1,0,0,0,0,1,Normal_Weight,1,0
0,20,1.5,44.0,0,1,2.0,3.0,1,0,1.0,0,0.0,0.0,1,1,0,0,0,0,Normal_Weight,1,0
0,23,1.64,52.0,0,1,3.0,1.0,1,0,2.0,0,2.0,2.0,0,0,0,0,1,0,Normal_Weight,1,0
0,23,1.63,55.0,1,0,3.0,3.0,0,0,2.0,1,2.0,1.0,0,0,0,0,1,0,Normal_Weight,1,0
0,22,1.6,55.0,0,0,3.0,4.0,3,0,3.0,0,2.0,0.0,0,0,0,0,1,0,Normal_Weight,1,0
1,23,1.68,62.0,0,0,2.0,4.0,2,0,2.0,0,0.0,0.0,1,1,0,0,0,0,Normal_Weight,1,0
1,22,1.7,70.0,1,1,2.0,3.0,1,0,1.0,0,0.0,1.0,1,1,0,0,0,0,Normal_Weight,1,0
1,21,1.64,65.0,1,0,2.0,3.0,1,0,1.0,0,0.0,1.0,0,0,0,0,1,0,Normal_Weight,1,0
0,17,1.65,67.0,1,1,3.0,1.0,1,0,2.0,0,1.0,1.0,0,0,0,0,0,1,Normal_Weight,1,0
1,20,1.76,55.0,1,1,2.0,4.0,1,0,3.0,0,2.0,2.0,0,0,0,0,1,0,Insufficient_Weight,0,0
0,21,1.55,49.0,1,1,2.0,3.0,1,0,3.0,0,3.0,1.0,1,0,0,0,1,0,Normal_Weight,1,0
1,20,1.65,58.0,0,1,2.0,3.0,1,0,2.0,0,3.0,1.0,1,0,0,0,1,0,Normal_Weight,1,0
1,22,1.67,62.0,0,1,2.0,1.0,0,0,2.0,0,0.0,0.0,1,0,0,0,1,0,Normal_Weight,1,0
1,22,1.68,55.0,1,1,2.0,3.0,1,0,2.0,0,0.0,2.0,1,1,0,0,0,0,Normal_Weight,1,0
0,21,1.66,57.0,1,1,2.0,3.0,2,0,1.0,0,1.0,1.0,0,0,0,0,1,0,Normal_Weight,1,0
0,21,1.62,69.0,1,1,1.0,3.0,2,0,2.0,0,0.0,1.0,0,0,0,0,1,0,Overweight_Level_I,2,0
1,23,1.8,90.0,1,1,1.0,3.0,3,0,2.0,0,0.0,2.0,2,0,0,0,1,0,Overweight_Level_II,3,0
1,23,1.65,95.0,1,1,2.0,3.0,3,0,2.0,0,0.0,1.0,2,1,0,0,0,0,Obesity_Type_I,4,1
1,30,1.76,112.0,1,1,1.0,3.0,0,1,2.0,1,0.0,0.0,2,1,0,0,0,0,Obesity_Type_II,5,1
1,23,1.8,60.0,1,0,2.0,3.0,0,0,3.0,0,0.0,1.0,1,0,0,0,1,0,Normal_Weight,1,0
0,23,1.65,80.0,1,1,2.0,3.0,3,0,2.0,0,0.0,2.0,0,0,0,0,1,0,Overweight_Level_II,3,0
0,22,1.67,50.0,1,0,3.0,3.0,0,0,3.0,1,2.0,1.0,1,0,0,0,1,0,Insufficient_Weight,0,0
0,24,1.65,60.0,1,0,2.0,3.0,1,0,3.0,1,1.0,0.0,0,0,0,0,1,0,Normal_Weight,1,0
1,19,1.85,65.0,1,0,2.0,3.0,1,0,3.0,0,2.0,1.0,1,0,1,0,0,0,Normal_Weight,1,0
1,24,1.7,85.0,1,1,2.0,3.0,2,0,3.0,0,0.0,1.0,2,0,0,0,1,0,Overweight_Level_II,3,0
0,23,1.63,45.0,1,0,3.0,3.0,1,0,3.0,1,2.0,0.0,0,0,0,0,1,0,Insufficient_Weight,0,0
0,24,1.6,45.0,1,0,2.0,3.0,0,0,2.0,0,1.0,0.0,0,0,0,0,1,0,Insufficient_Weight,0,0
0,24,1.7,80.0,1,1,2.0,3.0,1,0,3.0,0,0.0,0.0,0,0,0,0,1,0,Overweight_Level_II,3,0
0,23,1.65,90.0,1,1,2.0,3.0,1,0,3.0,0,0.0,1.0,0,0,0,0,1,0,Obesity_Type_I,4,1
1,23,1.65,60.0,1,0,2.0,3.0,1,0,2.0,0,0.0,0.0,1,0,0,0,1,0,Normal_Weight,1,0
0,19,1.63,58.0,0,0,3.0,3.0,1,0,2.0,1,0.0,0.0,0,0,0,0,1,0,Normal_Weight,1,0
1,30,1.8,91.0,1,1,2.0,3.0,2,0,2.0,0,0.0,0.0,1,0,0,0,1,0,Overweight_Level_II,3,0
1,23,1.67,85.5,1,1,2.0,3.0,3,0,2.0,0,0.0,1.0,0,0,0,0,1,0,Obesity_Type_I,4,1
0,19,1.6,45.0,0,0,3.0,3.0,0,0,3.0,1,2.0,0.0,0,0,0,0,0,1,Insufficient_Weight,0,0
1,25,1.7,83.0,1,1,2.0,3.0,2,0,2.0,0,0.0,1.0,1,0,0,0,1,0,Overweight_Level_II,3,0
